content,score
sao trừ 15 000 đ xu của tui,1
ko mua đc khi đc áp mã giảm_giá,1
app khong on dinh lag,1
như con ccc,1
lỗi mạng cái chó gì,1
mua hàng không có hàng mất hơn 7 trăm_nghìn mua 1 vỏ cát tông bé tí làm_ăn thế không tồn_tại đâu,1
app rất tệ voucher fresship lúc_nào cũng bảo_trì xóa đi tải lại ko fix được lỗi giao_diện thì khó dùng xu khó kiếm nhìn cứ bịp sao ấy ko fix sớm chắc xách dép cho sàn cam quá,1
voucher thì rõ lắm mà không cho áp_dụng bị cvo2 gì đó nói_chung là tệ lần đầu_tiên cũng như lần cuối_cùng tải cái app này tải về chẳng đặt được khỉ khô gì cho đời,1
đơn hàng bị hủy do người bán nhưng không hoàn voucher hết hạn vô_lý lỗi của người bán nhưng bắt người mua chịu,1
đơn hàng bị hủy do người bán nhưng không hoàn voucher hết hạn vô_lý lỗi của người bán nhưng bắt người mua chịu cam on,1
yêu_cầu lazada tạo ra shop nào làm_ăn_không uy_tín cho 1 sao khi bán không đúng hàng hiện trọng trang_chủ shop nhận không cho kiểm_tra hàng mở_hàng ra thì thiếu đổi thì không được làm không_trách_nhiệm gì hết,1
lazada hồi này toàn bán hàng nhái đặc_biệt là smartphone với lại đăng bán smartphone một đàng nhưng thực_tế thì lại sản_phẩm khác lừa_đảo quá nếu người mua hàng không chú_ý kỹ là dễ mắc bẫy lừa_đảo kinh_khủng,1
1 mua hàng thì nhiều shop lừa_đảo bán hàng không đúng mô_tả phải trả lại nhiều lần 2 chơi game thì hay lỗi mạng 2,1
k đặt_hàng đc luôn ý k bt sao nhưng mà mik thấy nó khó đặt vl toàn lỗi đc cấy mà người mới mà nỏ đặt đc chi mng k nên tải nha,1
áp khó sử_dụng giao_diện k thân_thiện ng dùng shipper thì gọi 1 cuộc không nghe k thấy gọi lại lần 2 phải đợi thêm 1 2 ngày mới giao lại chừa lần sau không bao_giờ đặt ở lazada nữa,1
không hài_lòng với chất_lượng phục_vụ khi sài app này khi mình yêu_cầu đổi trả hàng bên lazada không xử_lý được vấn_đề của mình,1
toàn bị lỗi cv02 muốn mua hàng cũng ko dx dù bỏ hết voucher và xu đi thay_đổi phương_thức thanh_toán cũng ko dc chán đến ngày sale thì khóa thanh_toán bực m,1
mua hàng bằng thẻ tín_dụng là sai_lầm tự_hủy đơn hàng rồi không thấy hoàn tiền ngồi chờ 01 tháng chưa thấy tiền đâu tiền trao cháo múc là ok nhất có shop còn giao hộp không có hàng khiếu_nại thì nói không có bằng_chứng toàn lừa_đảo,1
quản_lý xử_lý đơn hàng đổi trả ko thỏa_đáng ko linh_động luôn miệng nói rất tiếc và làm_việc theo quy_trình cứng ngắt v thì kh cũng ko cần stm lazada nữa chính_sách chăm_sóc kh rất tệ,1
vocher thì lấy về đặt_hàng áp vào ko đc cứ bị lỗi cov02 bắt_buộc phải bỏ vocher mé cái app loll đúng nản tải về chỉ phí dung_lượng,1
lazada bị cái quái gì vậy máy nào vào app cũng bị load rất lâu mới vô được đổi wifi 5g vẫn bị load lâu làm_ăn dở_tệ hơn shopee cực_kỳ cực_kỳ nhiều quái ngay cả phản_hồi lỗi trang cũng không chạy được luôn sợ bị đánh_giá thấp nên cố_tình hả lazada,1
app rất tệ không nên sử_dụng không cho kiểm_tra hàng đơn nhận được toàn hàng giả hàng kém chất_lượng trả hàng hoàn tiền mà đưa mã giảm_giá chưa toàn lừa_đảo app toàn cho bọn lừa_đảo bán hàng bán hàng mà không cho kiểm_tra hàng quá tệ lazada nên căng nhắc cho kiểm_tra hàng như tiki,1
lazada ngày_càng làm_ăn bát nhau ko kiểm_soát dc nguồn hàng 1 shop như bán dây hút nhớt hoàng sơn gửi hàng sai kich cỡ yêu_cầu đổi lại cũng ko cho cũng ko phản_hồi đến ntd,1
mình mua sản_phẩm lần 1 sau đó mua lần 2 mình vào mục mua lại để khỏi mua nhầm hàng sản_phẩm vào giỏ và thanh_toán thành_công sau đó giao đến sản_phẩm không giống sản_phẩm trước đó liên_hệ shop thì bảo ngừng sản_xuất nên mình trả hàng vì không đúng nhu_cầu sử_dụng lazada không giải_quyết còn những lần mua mà shop không giao tự_hủy_đơn tiền hoàn của mình hết hạn_dùng thì không thấy shop đền chính_sách tiêu_cực với người tiêu_dùng,1
ko lên mua ở trên lày quá bất_tiện và lại hủy_đơn mà ko hoàn lại tiền đừng ai tải cái lày về,1
lazada không tải được video hoàn tiền đã tải video được 7 8 lần nhưng không được tải được mỗi ảnh xong gửi ảnh đi thì bảo không đủ bằng_chứng để hoàn tiền,1
các bạn mua hàng bên lazada nếu shop nào ko có tâm bàn hàng lừa_đảo các bạn cũng ko nên buồn mình coi tiền đó cúng điếu cho shop lazada và shop bán hàng nhe cải_thiện là lừa_đảo nhiều thêm à,1
mã giảm_giá thì đúng đủ tiu chuẩn mà ko sài đc còn giao lâu shop để ngày này tới ngày cái đổi qua_ngày khác bên shipper còn hẹn thêm lần nữa quá nhìu thứ_lỗi,1
ứng_dụng qq mẹ nhiều khi người_ta k đặc hàng cũng đi giao kêu k lấy nói này nói kia yêu_cầu xử_lí dùm,1
lazada treo đầu dê bán thịt chó không à 2 lần đặt mua sony m2 và z5 thì giao vsmart tính đặt mua thêm 1 cái đt khác và hỏi về sản_phẩm thì cả tháng không trả_lời nếu có trả_lời thì sản_phẩm vẫn còn bạn lên lazada đặt mua nha và tui hỏi thêm sản_phẩm vẫn còn là sản_phẩm gì và cũng trả_lời sản_phẩm vẫn còn bạn lên lazada đặt mua thêm nha,1
vì họ bắt_buộc phải chuyển tiền qua mà sợ lừa_đảo và không_thể mua và mong giao hàng rồi mới trả tiền,1
không bảo_vệ được người tiêu_dùng cskh quá kém mình mua 2 lọ kem dưỡng ở mall mà gửi 1 lọ tẩy_trang dùng thử có vài ml và ng bán đã nhận lỗi do gửi hàng thiếu có clip quay lúc bóc hàng rõ mà từ_chối yêu_cầu trả hàng hoàn tiền vì không đủ bằng_chứng hợp_lý xử_lý yc khách_hàng vô_cùng chậm gọi điện tổng_đài thì nhân_viên trả_lời vòng_vo bắt đợi để câu tiền thua xa sàn shopee mọi người mua nên cẩn_thận nhé,1
lazada choi bá dơ ý_kiến thi tự_động khóa lun tài_khoản tôi lam ôg bà nôi hết,1
chung_quy toàn shop bố_láo đặt 1 đằng giao 1 nẻo đã thế còn ko cho trả hàng hàng thì cũ_rích,1
shop giao thiếu hàng nhưng khi phản_hồi lên lazada lại không hổ trợ giải_quyết quá tệ,1
mua được cái đơn hàng từ 170k xuống 109k mà lỗi lên lỗi xuống ngay từ đầu không bán thì nói mịa ra nghĩ nó chán mất thời_gian,1
cứ vài giây lại thấu quảng_cáo của app này trên các ứng_dụng khác phiền quá,1
lazada chứa_chấp dung_túng cho lừa_đảo sớm_muộn gì cũng sập,1
trải nghiệm tệ không_thể sử_dụng mã giảm_giá trong khi đây là lần đầu mùa hàng,1
tại_sao lại bị cv02 trong khi ko làm gì cả ap vocher thì tối_ngày cứ bị cv02,1
lỗi ncc cho cái sale mà đặt là tự_hủy giờ khóa mẹ shipcod,1
chơi nhận gạo mà không đặt đc là sao bị lỗi cv02 là sao lừa người à,1
mọi người không nên mua đồ trên lazada về mình mua đồ đồng_hồ mà người_ta bán cái dây ấy đồng_hồ mọi người không nên mua,1
mua cái j cũng phải bị tính tiền bằng thẻ ko đc tính bằng tiền mặc nhưng tui lại ko có thẻ,1
đm_hủy đơn hàng bỏ_mẹ cả voucher của ngt làm_ăn kiu j v,1
cho voucher nhưng mà ko cho xài app quá tệ thua hẳn shopee,1
cứ bị lỗi cv02 mà trong khi áp voucher rõ_ràng nên khắc_phục lại lỗi này đi,1
bị cv02 liên_tục ảnh_hưởng đến việc mua hàng rất chán,1
sài ức_chế khùng khùng app tệ kĩ_thuật dỡ hơn shopee,1
yêu_cầu gặp tư_vấn viên mà mãi không được cleo lỗi quá,1
samsung a51 ứng_dụng ép người_ta cài đặ tốn dung_lượng,1
làm_ăn_gian_dối treo đầu dê bán thịt chó,1
k đặt đc hàng lần đầu như lần cuối tải app này,1
app ngu vc mua hàng cứ bị lỗi cv02 hoài,1
cho 1 sao vì app khác quảng_cáo lazada quá lâu,1
sao tôi đăng_kí để mua hàng mà không đc rất rất tệ,1
đổi trả hàng k dc dù chưa sử_dụng,1
chuyến này app bị lms ý ko vào đc,1
chuyên bán hàng lừa_đảo đặt đồ mới dao đồ cũ,1
như cc trên mạng rõ đẹp mà đặt về khác như cc,1
mình đăng_nhập không được mong bên bạn làm rõ,1
như con cặk quảng_cáo lắm,1
lỗi rồi mua k giao thua,1
hủy đơn hàng xong mất voucher quá tệ,1
chả hàng nhưng ko hoàn tiền,1
hàng đang rẻ đặt đ cho đặt,1
đặt_hàng mà giao hàng giả mẹ nó,1
dịch_vụ càng ngày_càng chán,1
xác_nhận cả tiếng k xong,1
ứng_dụng như shopee,1
lỗi nhiều quá,1
quảng_cáo nhiều,1
,1
tệ thật zalada dung_túng cho shops bán hàng giử hàng không đúng với sản_phẩm phẩm đã đặt lừa khách_hàng sản_phẩm tôi đã trả nhưng không hoàn tiền,1
lazada mua 5 món choice tặng 1 món là cú lừa mua xong hủy món được tặng nhắn hỏi thì nói hết hàng thông_cảm vậy tạo ra quà tặng chi rồi quỵt,1
tôi tin rằng lazada có_thể vực dậy trở_lại khi thay_đổi giao_diện làm theo hướng đơn_giản đơn_giản cả cho người mua cũng nhưng đơn_giản hơn về chính_sách cho người bán hệ_thống làm quá rối_ren không muốn dùng app để mua hàng mặc_dù giá có rẻ hơn,1
úng_dụng mua đồ toàn là dân lừa_đảo bán đồ hì không có chất_lượng chỉ thấy toàn quảng_cáo bớt xâm_nhập vào đt quảng_cáo đi,1
mua hàng lazada cẩn_thận mọi người ơi tiếp_tay bọn gian_thương lừa_gạt người tiêu_dùng cam_kết hoàn tiền mà không hoàn tiền chờ mất cả tháng để xử_lí cuối_cùng không hoàn tiền bên shopee không ưng là hoàn tiền ngay trong vài giờ đồng_hồ tiền của mọi người hãy tỉnh_táo là người tiêu_dùng thông_minh chọn sàn khác mà mua,1
cảnhcáo lazada viphạm lừađảo đặt_hàng thanh_toán tiền trước thời_gian dài vẫn chưa gửi chuyển giao hàng nếu hết hàng thì phải hủy_đơn hoàn tiền chứ giamtiền khách_hàng không xong đâu cực_lực phản_đối lazada bao_che lex vn đồgiantặc đào_tạo shipper khủng_bố khách_hàng,1
lúc tôi có mã ko cho app có mã thì báo lỗi cứ nói_thẳng là ko cho mua giảm_giá lần đầu mua quá thất_vọng,1
hàng hư_hỏng code của lazada k nhập được như lừa_đảo vậy hàng trả xác_nhận xong k ai đến nhận hàng code cũng k dùng được trong khi các xác_nhận đã xong hỗ_trợ kiểu ai auto trả_lời có cũng như_không rất đáng thất_vọng và cảnh_báo người khác cân_nhắc khi mua hàng,1
hàng như cái nùi rẻ rách vậy_mà cũng gởi bán lấy tiền người_ta cho được sao không để_dành làm đồ lau nhà đi 1 lần duy_nhất bái bay và tạm_biệt 會員們在,1
làm_ăn kiểu mj hết thì báo hết mẹ đi đặt xong bao_nhiêu ngày rồi lại tự_hủy lí_do hết hàng xong đặt lại lại đc dell hiểu,1
đặt áo để muộn nhất 4 ngày giao mà qua 1 tuần r chưa thấy giao cho shipper nhắn shop k rep,1
trò_chơi trồng lúa còn có 0 02 là hoàn_thành mà tưới nước hoài mà ko cho hoàn_thành chán lazada này quá chắc ko ủng_hộ app này,1
làm app riết bấm k để_ý là thanh_toán luôn xưa bấm next tơi bước áp mã voucher còn giờ bấm k để_ý là thanh_toán hẳng luôn,1
nhà bán hàng của lazada bây_giờ quá khinh_thường khách_hàng có vấn_đề thắc_mắc hỏi không thấy trả_lời lời có_lẽ phải suy_nghĩ_lại khi mua hàng của lazada rồi đấy nếu không khắc_phục,1
trước giờ dùng laz bao năm quen rồi mịa tự_dưng năm mới cập_nhật cmn éo tả nổi độ ngu của bản cập_nhật mới luôn muốn đuổi người dùng,1
lỡ lưu thẻ ghi_nợ nội_địa khi thanh_toán giờ thì không tài_nào xóa được liên_hệ cskh xóa_giùm củng không được toàn trả_lời vớ va vớ_vẩn mọi người nên lưu_ý điều này,1
mình ko biết nhân_viên giao ở chỗ khác như thế_nào nhưng khu_vực của mình thì nhân_viên giao hàng cực_kỳ chán thái_độ rất cọc cằn đặt biệt là cái anh nv tên nguyễn văn tích,1
phí vận_chuyển quá mắc trong khi bên shoppee hầu_như free ship rồi voucher thì ít bảo sao ko cạnh_tranh nổi với shoppee,1
để địa_chỉ rất bình_thường đặt_hàng cá_nhân dùng thôi mà bị lỗi cv02 mãi chat với nhân_viên lazada cũng trả_lời nhiệt_tình này kia tưởng mở cho mua hàng mà không nha nửa năm trời không mua được cái gì hết giờ người dùng muốn mua hàng cũng khó đến vậy sao quá tệ thất_vọng,1
giao hàng quá lâu nhiều lúc bấm vào xem mà k để í cái là thanh_toán luôn mong là lazada có bản cải_thiện tốt hơn bây_giờ,1
đơn tui đặt t7 t2 giao xong thì lúc 2h ship điênn tui ship nói mạ giao thì tui hẹn lại sáng_mai 9h mà lúc 12 57 điện tui tui còn học_sinh ko đc chs đt trong giờ hc tui có để ghi_chú em còn học_sinh giao lúc sáng 9h hoặc 2h chiều 5h dùm em_em còn hs lúc ship điện tui lúc 12 57 tui ko trả_lời được chiều 17 07 tui lấy điện_thoại mẹ tui điện lại ship hẹn tui sáng_mai sáng t4 mà từ sáng giờ ko có 1 cuộc_gọi vào xem đơn hàng thì ghi tui từ_chối ko nhận hàng ship tệ,1
nên đuổi việc cái nhóm nào cải_tiến cập_nhật ứng_dụng vậy trước mua hàng thông_tin rõ_ràng dễ nhìn nay cập_nhật lại là bấm nhầm thanh_toán là đặt_hàng luôn huỷ hết mấy đơn cái phần thanh_toán là phần thu_nhập chính lzd mà các bạn làm mất khách_hàng có khi sẽ xóa_lzd mà qua mua_sắm bên ứng_dụng khác mình sẽ báo lên bộ_phận tổng_đài để nói về vấn_đề này trang thanh_toán đặt_hàng ko tiện bằng lúc trước chán,1
mua hàng thanh_toán trước mà giao hàng cứ chần_chừ kéo_dài nữa tháng trời vậy mà trạng_thái đơn hàng là đã giao hơn 10 ngày bên nhân_viên giao hàng mà cài chặn tất_cả cuộc_gọi ngoài danh_bạ người_ta đâu phải lúc_nào cũng ôm đt bên người gọi kh k đc lúc kh gọi lại thì tút tút liên_hệ gọi đt lazada ko đc chat trực_tuyến thì ko hỗ_trợ trường_hợp này đúng chán tiền thì mất từ lâu mà hàng thì không thấy đâu,1
ko nên tải đặt_hàng này lại giao hàng kia dã bị lazada lừa đg đợi hoàn_trả ko bt đc ko nói_chung là shoppe vẫn đỉnh,1
tui tinh tưởng lazada nên tui mua hàng trên lazada rất nhiều rồi mà bây_giờ tui đặt_hàng trên lazada tui mua cái này mà giao cái kia hỏi thử tui còn tinh tưởng lazada nữa không tui yêu lazada cho người_ta kiểm hàng đúng hàng thì người_ta nhận còn không đúng hàng thì không nhận hàng ok,1
mua hàng đến nơi giao rồi mà mãi chưa thấy giao thấy mà tức tôi mong trong thời_gian sớm nhất lazada có_thể cải_thiện lại tình_trạng này,1
app kiểu gì thanh_toán cứ bị lỗi không đặt được mã giảm_giá thì ít không nên dùng,1
tôi không_thể lấy lại tiền của mk với mã giảm_giá khi hoàn tiền nó không_thể cope đã không_thể hoàn lại tiền mà còn mở mồm là cập_nhật đơn hàng tôi hoàn là vào tối 282 mà hạn của cái magiamgia hoàn lại tiền của tôi hết hạn vào buổi trưa ngày 282 mà buổi trưa 292 tôi mới giao hàng cho shipper ship về định quỵt tiền à,1
lỗi quá nhiều ko cho mua hàng ra mã mà ko cho khách_hàng áp mã đúng là lừa_bịp,1
ứng_dụng mua hàng ko ra gì muốn hủy_đơn vì nhầm cũng ko đc phải chờ sách nhận xong toàn lừa_đảo ko_hủy đc thì vẫn phải mụa ạ xong mấy cái votrer thì đểu,1
1 nay phí ship có chỗ cao hơn shopee 2 shopee đc đồng kiểm cái này thì ko kiểm đc 3 ghi sai tiêu_đề ghi là máy này bấm bên trong hoàn_toàn là máy khác 4 ngày lễ tết trên 90 cửa_hàng hết hàng,1
hủy đơn hàng đã thanh_toán vô_cớ dù có hoàn lại tiền tôi vẫn cho 1,1
bán hàng như con ket cước thì cao vận_chuyển thì lâu trả hàng thì ko nhận lại được tiền,1
ncc chx mua đc cái l j đã báo có hđ bất_thường r đ cho đặt dcm như cc,1
hệ_thống làm_ăn kiểu như cho có mình muốn hủy 1 đơn mà shop đã đóng_gói nếu shop đã gửi ko chấp_nhận hủy mình vẫn lấy ok nhưng bấm_hủy hệ_thống ko hiện đơn đó r mấy hôm sau lại giao nó bên giao hàng j t thì nói_chuyện cộc_lốc như mình là má thiên_hạ hay gì á trời mục 3 món 24 có vài món ổn nhưng đến mĩ_phẩm thì toàn đồ đểu kém chất_lượng,1
app thì giao hàng lâu 3 tuần mới có shop thì cọc nhân_viên thì nóng 1 delll có nhưng,1
app thua shoppe nhiều tiền ship thì mắc hơn nhân_viên thì cọc đặt_hàng ghi địa_chỉ giao hàng rõ_ràng mà hông giao tới chỗ bắt phải tự chạy ra lấy trong khi ta có con nhỏ nhân_viên giao hàng làm như cha_nội ta,1
qc quá nhiều lại còn bait dấu x dành tiền chạy qc mà phát_triển dịch_vụ thì hơn,1
nhắn_tin làm_phiền quá nhiều gửi toàn thông_báo nhảm tài_khoản các kiểu,1
app lazada giờ rất chán giao hàng thì chậm nhân_viên chăm_sóc khách_hàng thì trả_lời loanh_quanh,1
rất nhiều shop bán sách giả lừa_đảo đánh_giá 1 sao nhưng vẫn hoạt_động,1
bị cvo2 hoài nhắn_tin bảo kiểm_tra các kiểu xong cuối_cùng trả đặt được,1
lỗi cv02 liên_tục chat với cskh cũng vẫn không mở chán lazada,1
tôi mua bình nước mới đau nửa ngày mà gảy mất cái nắp rồi,1
lazada bây_giờ khác quá vs lại bị sao á tui đăng_nhập hoài ko đc,1
mía trả hàng ship ko đến lấy rồi tự_hủy lửa đảo nhiều quá,1
ăn 1 sao nhiều quá đi theo xu_hướng_vậy,1
shop đang giảm_giá mua 3 bộ móng 9k vậy_mà shop tự_hủy đơn khách,1
mua một rôt úp chén tháy bự quá mà giao thấy có chút_xíu à,1
ko áp mã gì cả mà nó bảo ko áp mã mới đặt đc trêu nhau à,1
xác_minh cái tài_khoản lại thôi mà không đc cay_bm,1
bực_mình đặt_hàng và trả tiền đã lâu mà không nhận được hàng,1
lừa_đảo tinh_vi ko nên thanh_toán trước nhé nên thanh_toán khi gặp,1
shop bịp mua đồ sạc bin chỉ dây chứ ko cho cái cục sạc,1
nhập địa_chỉ ko đc kêu_nhập tỉnh huyện xã nhập xong thì mất tiêu,1
chơi game khác mà cứ quảng_cáo app như l,1
ứng_dụng tồi không cho người dùng mau hàng suốt ngày khóa,1
đã hủy_đơn vẫn giao về lấy 30k ship nx,1
vô trách_nhiệm vô_tri 1 sao cũng không xứng,1
tự_hủy_đơn của khách làm_ăn_thua xa shopee,1
hủy_đơn rồi những vẫn giao coi làm_ăn như cc,1
tôi đã dùng cảm_thấy không tốt dỏm,1
tự_ý hủy_đơn sang shopee nhé m n,1
bảo_mật quá kém tài_khoản bị hack,1
đặt_hàng mà lazada tự_hủy mong cải_thiện,1
mua hàng trên lazada kiểm_tra hàng nhìn nó chán,1
mua thử đơn đầu_tiên mà shop ko giao,1
tốc_độ giao hàng và xử_lí đơn hàng quá lâu,1
k dùng đc mã các kiểu luôn ạ app rác,1
họ hủy đơn hàng của tôi,1
đáng_ra phải 1000000000 sao đấy ️ ️,1
kết_nối_mạng bị lỗi hoài,1
rác hơn chó xóa_app cdmm đi,1
xuat hien qua hien tren trang,1
rất ok đã mua thêm,1
khóa không cho người dùng mua hàng,1
không đặt câu đc,1
làm_ăn lề_mề,1
bị lừa rất nhiều,1
quảng_cáo như c,1
không áp được mã,1
ứng_dụng như cc,1
số tốt ạ,1
game lag vcl,1
cực tệ,1
rất tốt,1
tệ,1
nhân_viên trực page lzd affiliate lười_biếng và thái_độ với khách khách hỏi thì không trả_lời đợi nhắc đi nhắc lại đến lúc khách cáu than_phiền thì mới rep lzd tuyển nhân_viên nghiệp_vụ gì lạ_vậy trải nghiệm ko tốt của khách thì điều đầu_tiên là phải xin_lỗi đây khách hỏi ko thèm rep khách than_phiền ko xin_lỗi khuyên mấy b ko nên làm cho lzd qua shopee tiktok ok hơn họ chăm_sóc khách_hàng tốt ko bắt_buộc phải có mst để mh làm ko công cho lzd xog bảo ko mst thì bố ko trả tiền,1
tưới cây muốn nội_thương hết hơn 1 tháng trời đã vậy tới lúc nhận quà thì k có rồi kêu tặng voucher nghe muốn tức voucher thả rong ngoài một đống kìa tốn công tốn sức thiệt sự nếu hết hàng rồi thì dừng game đi chứ để vậy người_ta chơi cả tháng là sao đổi xu để tưới nước còn nhiều hơn cái voucher chỉ bk câu mua thôi,1
mua trên s bao_nhiêu lần ko sao tới lazada thanh_toán bằng ví điện_tử là lỗi liên_tục hiện đã thanh_toán thành_công khúc sau lại tự_động hủy bảo thanh_toán thất_bại là sao nữa trong khi tiền bị trừ rồi thủ_tục hoàn tiền đơn_hủy cũng lâu_lắc nữa bên s nó hoàn cái rẹt bên đây chờ mà sốt_ruột từ lúc tải đặt được 3 đơn ko lỗi này cũng lỗi kia bực_mình,1
tìm khách_hàng mua đã khó còn ổng ẹo việc đăng_ký 1 sao,1
cập_nhật cho nặng vào lỗi ko app ko bao_giờ biết được thông_tin gì về đơn hàng hiện_tại đã đi về đâu đúng tệ so với những trang mua_sắm khác,1
bên lazada bán hàng ko đúng như mô_tả kêu bên shop đồi hàng biết bao_lâu mà ko ai điện nhắn_tin bên lazada họ kêu là shop bận nên ko trả_lời đc lazada nói là xẽ hối shop mà ko thấy ai trả_lời đặt 2 món mà toàn giao thứ gì ko lazada làm_ăn kiểu này ko giám mua bên này nữa,1
ứng_dụng ngày_càng tồi_tệ khóa tài_khoản không cần lý_do khiếu_nại thì chỉ biết copy văn vản mẫu rồi nói không can_thiệp được vào hệ_thống chắc là robot nên mới bị ai điều_khiển vậy,1
shipper giao vô_cùng ẩu tự_hủy_đơn của khách làm mình bị vô_hiệu_hóa thanh_toán bằng tiền_mặt mặc_dù vậy_mà lazada vẫn không xử_lí ông shipper mà_lại vô_hiệu_hóa tài_khoản của khách,1
hàng đểu shipper bom hàng thì ko xử_lý chỉ chăm_chăm spam quảng_cáo bẩn rác dụ nhấp nói_chung chất_lượng đi xuống,1
mua hàng toàn bị lừa_đảo bữa tết giờ mua 4 lần ko lần nào đúng như quảng_cáo ap không bảo_vệ được người tiêu_dùng thì cho 1,1
mua hàng không được kiểm hàng hoặc đồng kiểm toàn bị giao hàng kém hoặc lừa_đảo đổi trả quá phiền_phức và mất thời_gian,1
1 sao cho bn do lỗi quá nhiều có mã giảm_giá nhưng ko cho ặt hàng bỏ mã giảm_giá thì ặt hàng ược má ai mượn ship nhanh 24h zị,1
ko đăng_nhập được mua thì kêu thanh_toán bằng thẻ thường thường mua thanh_toán bằng tiền_mặt mà ta nói ha chưa bao_giờ t dùng app nào mà dở như app này nhấn_mạnh chữ chê và chê,1
làm_ăn lừa_đảo sp khác trên hình giao k đủ hàng tự_hủy_đơn trải nghiệm tệ vler,1
lazada làm_ăn j kì z đặt_hàng méo cho,1
ko biết sao tk tôi bị người khác ở tận đâu_đâu dùng ngồi cứ thấy thông_báo đơn hàng đến chán,1
kênh lazada và nhà bán hàng không_trung_thực hàng giả hàng kém chất_lượng giao hàng chậm,1
ok,1
tệ,1
app rác,1
truy_cập nhiều trên lazada lại hiện thông_báo phát_hiện truy_cập lưu lương bất_thường rồi bị chặn truy_cập cái loz què rất thiếu chuyên_nghiệp dẹp mẹ qua shoppe,1
sao bắt xác_minh miết zạy,1
toàn lừa_đảo,1
tải lm j tốn dung_lượng,1
qc bất_chấp chắc đói_nghèo dữ lắm,1
qc wep như lol,1
tài_khoản sử_dụng bth không làm gì cũng quét lỗi cv02,1
bán hàng toàn la hàng kém chất_lượng,1
giao hàng quá chậm,1
không cho đồng kiểm nên rất bất_tiện,1
